"";"word";"freq"
"estado";"estado";148
"censo";"censo";138
"ibge";"ibge";100
"realização";"realização";96
"lei";"lei";77
"políticas";"políticas";69
"demográfico";"demográfico";61
"maranhão";"maranhão";49
"união";"união";49
"direitos";"direitos";47
"direito";"direito";46
"dados";"dados";45
"constituição";"constituição";44
"corte";"corte";44
"constitucional";"constitucional";43
"públicas";"públicas";41
"nacional";"nacional";40
"digitalmente";"digitalmente";39
"geral";"geral";39
"acessado";"acessado";38
"tutela";"tutela";38
"estatística";"estatística";36
"poder";"poder";36
"ação";"ação";35
"brasileiro";"brasileiro";35
"presidente";"presidente";35
"fundamentais";"fundamentais";33
"medidas";"medidas";33
"informações";"informações";32
"participação";"participação";30
"estados";"estados";29
"geografia";"geografia";29
"público";"público";29
"recursos";"recursos";29
"cep";"cep";28
"população";"população";28
"sentido";"sentido";28
"site";"site";28
"urgência";"urgência";28
"assessoria";"assessoria";27
"calhau";"calhau";27
"instituto";"instituto";27
"juscelino";"juscelino";27
"municípios";"municípios";27
"pública";"pública";27
"quintas";"quintas";27
"fax";"fax";26
"kubitscheck";"kubitscheck";26
"loteamento";"loteamento";26
"luísma";"luísma";26
