"";"word";"freq"
"estado";"estado";148
"censo";"censo";138
"ibge";"ibge";100
"realização";"realização";96
"lei";"lei";77
"políticas";"políticas";69
"demográfico";"demográfico";61
"maranhão";"maranhão";49
"união";"união";49
"direitos";"direitos";47
"direito";"direito";46
"dados";"dados";45
"constituição";"constituição";44
"corte";"corte";44
"constitucional";"constitucional";43
"públicas";"públicas";41
"nacional";"nacional";40
"digitalmente";"digitalmente";39
"geral";"geral";39
"acessado";"acessado";38
"tutela";"tutela";38
"estatística";"estatística";36
"poder";"poder";36
"ação";"ação";35
"brasileiro";"brasileiro";35
"presidente";"presidente";35
"fundamentais";"fundamentais";33
"medidas";"medidas";33
"informações";"informações";32
"participação";"participação";30
"estados";"estados";29
"geografia";"geografia";29
"público";"público";29
"recursos";"recursos";29
"cep";"cep";28
"população";"população";28
"sentido";"sentido";28
"site";"site";28
"urgência";"urgência";28
"assessoria";"assessoria";27
"calhau";"calhau";27
"instituto";"instituto";27
"juscelino";"juscelino";27
"municípios";"municípios";27
"pública";"pública";27
"quintas";"quintas";27
"fax";"fax";26
"kubitscheck";"kubitscheck";26
"loteamento";"loteamento";26
"luísma";"luísma";26
"pge";"pge";26
"sso";"sso";26
"tel";"tel";26
"wwwpgemagovbr";"wwwpgemagovbr";26
"entes";"entes";25
"meio";"meio";25
"renda";"renda";25
"caso";"caso";24
"informação";"informação";24
"orçamento";"orçamento";24
"badb";"badb";23
"dfbcfdfeeadd";"dfbcfdfeeadd";23
"pandemia";"pandemia";23
"cível";"cível";22
"sobre";"sobre";22
"taref";"taref";22
"adoção";"adoção";21
"demográficos";"demográficos";21
"exercício";"exercício";21
"governo";"governo";21
"omissão";"omissão";21
"partir";"partir";21
"social";"social";21
"administração";"administração";20
"competência";"competência";20
"decisão";"decisão";20
"min";"min";20
"república";"república";20
"sociais";"sociais";20
"assim";"assim";19
"aurélio";"aurélio";19
"coeficientes";"coeficientes";19
"federativo";"federativo";19
"marco";"marco";19
"anos";"anos";18
"judiciário";"judiciário";18
"medida";"medida";18
"pesquisa";"pesquisa";18
"princípio";"princípio";18
"procses";"procses";18
"própria";"própria";18
"além";"além";17
"coleta";"coleta";17
"complementar";"complementar";17
"fundo";"fundo";17
"interesse";"interesse";17
"política";"política";17
"atuação";"atuação";16
"capita";"capita";16
"constitucionais";"constitucionais";16
"dever";"dever";16
"executivo";"executivo";16
"fpm";"fpm";16
"inciso";"inciso";16
"nesse";"nesse";16
"per";"per";16
"razão";"razão";16
"redução";"redução";16
"fundação";"fundação";15
"gilmar";"gilmar";15
"jurisprudência";"jurisprudência";15
"mendes";"mendes";15
"necessidade";"necessidade";15
"país";"país";15
"risco";"risco";15
"todos";"todos";15
"artigo";"artigo";14
"concessão";"concessão";14
"federação";"federação";14
"fpe";"fpe";14
"legitimidade";"legitimidade";14
"liminar";"liminar";14
"modo";"modo";14
"necessárias";"necessárias";14
"pacto";"pacto";14
"parâmetros";"parâmetros";14
"proporcionalidade";"proporcionalidade";14
"seguinte";"seguinte";14
"apenas";"apenas";13
"cada";"cada";13
"distrito";"distrito";13
"domiciliar";"domiciliar";13
"eficiência";"eficiência";13
"eminente";"eminente";13
"execução";"execução";13
"implementação";"implementação";13
"planejamento";"planejamento";13
"proteção";"proteção";13
"receitas";"receitas";13
"verbas";"verbas";13
"ações";"ações";12
"alocação";"alocação";12
"antecipada";"antecipada";12
"base";"base";12
"decenal";"decenal";12
"forma";"forma";12
"pedido";"pedido";12
"portanto";"portanto";12
"prejuízo";"prejuízo";12
"presente";"presente";12
"processo";"processo";12
"realizar";"realizar";12
"serviços";"serviços";12
"ato";"ato";11
"ção";"ção";11
"condições";"condições";11
"conflito";"conflito";11
"despesas";"despesas";11
"discricionariedade";"discricionariedade";11
"entidade";"entidade";11
"estatal";"estatal";11
"estudo";"estudo";11
"fundamental";"fundamental";11
"hipótese";"hipótese";11
"importante";"importante";11
"inclusive";"inclusive";11
"legal";"legal";11
"maneira";"maneira";11
"orçamentárias";"orçamentárias";11
"paulo";"paulo";11
"possibilidade";"possibilidade";11
"previsão";"previsão";11
"previsto";"previsto";11
"quais";"quais";11
"realizado";"realizado";11
"relação";"relação";11
"relevância";"relevância";11
"todas";"todas";11
"vez";"vez";11
"âmbito";"âmbito";10
"ante";"ante";10
"após";"após";10
"atos";"atos";10
"bilhões";"bilhões";10
"brasil";"brasil";10
"capaz";"capaz";10
"concretização";"concretização";10
"controle";"controle";10
"covid";"covid";10
"deve";"deve";10
"economia";"economia";10
"estatísticas";"estatísticas";10
"formulação";"formulação";10
"individuais";"individuais";10
"inverso";"inverso";10
"janeiro";"janeiro";10
"milhões";"milhões";10
"observados";"observados";10
"outro";"outro";10
"partilha";"partilha";10
"pesquisas";"pesquisas";10
"pois";"pois";10
"prevista";"prevista";10
"próprio";"próprio";10
"redator";"redator";10
"respeito";"respeito";10
"réués";"réués";10
"tais";"tais";10
"tal";"tal";10
"tar";"tar";10
"técnica";"técnica";10
"termos";"termos";10
"valor";"valor";10
"adi";"adi";9
"alcance";"alcance";9
"ausência";"ausência";9
"beneficiária";"beneficiária";9
"campo";"campo";9
"créditos";"créditos";9
"destacar";"destacar";9
"dez";"dez";9
"diversos";"diversos";9
"econômicos";"econômicos";9
"efeito";"efeito";9
"então";"então";9
"fim";"fim";9
"iii";"iii";9
"julgamento";"julgamento";9
"legislativo";"legislativo";9
"número";"número";9
"organização";"organização";9
"periodicidade";"periodicidade";9
"plenário";"plenário";9
"pobreza";"pobreza";9
"princípios";"princípios";9
"quanto";"quanto";9
"realidade";"realidade";9
"referendo";"referendo";9
"seguintes";"seguintes";9
"segundo";"segundo";9
"situação";"situação";9
"transferências";"transferências";9
"trata";"trata";9
"valores";"valores";9
"voltadas";"voltadas";9
"administrativas";"administrativas";8
"autonomia";"autonomia";8
"autor";"autor";8
"cálculo";"cálculo";8
"cinco";"cinco";8
"copiado";"copiado";8
"critérios";"critérios";8
"defesa";"defesa";8
"descumprimento";"descumprimento";8
"desenvolvimento";"desenvolvimento";8
"diversas";"diversas";8
"exemplo";"exemplo";8
"fatores";"fatores";8
"financeiro";"financeiro";8
"grave";"grave";8
"instâncias";"instâncias";8
"legais";"legais";8
"legislador";"legislador";8
"maior";"maior";8
"momento";"momento";8
"montante";"montante";8
"natureza";"natureza";8
"oficiais";"oficiais";8
"orçamentária";"orçamentária";8
"outras";"outras";8
"populacional";"populacional";8
"providências";"providências";8
"públicos";"públicos";8
"suficientes";"suficientes";8
"tema";"tema";8
"texto";"texto";8
"acerca";"acerca";7
"acima";"acima";7
"agravo";"agravo";7
"alega";"alega";7
"alínea";"alínea";7
"atividade";"atividade";7
"atualização";"atualização";7
"avaliação";"avaliação";7
"avaliar";"avaliar";7
"bem";"bem";7
"brasileira";"brasileira";7
"capacidade";"capacidade";7
"censitários";"censitários";7
"combate";"combate";7
"congresso";"congresso";7
"constitui";"constitui";7
"cumprimento";"cumprimento";7
"demanda";"demanda";7
"desta";"desta";7
"determinação";"determinação";7
"dezembro";"dezembro";7
"diante";"diante";7
"distribuição";"distribuição";7
"diz";"diz";7
"entidades";"entidades";7
"especialmente";"especialmente";7
"exame";"exame";7
"existência";"existência";7
"fato";"fato";7
"gestor";"gestor";7
"habitantes";"habitantes";7
"institucional";"institucional";7
"necessária";"necessária";7
"necessários";"necessários";7
"níveis";"níveis";7
"objetivos";"objetivos";7
"orçamentários";"orçamentários";7
"papel";"papel";7
"parcela";"parcela";7
"período";"período";7
"possível";"possível";7
"preconizados";"preconizados";7
"prejuízos";"prejuízos";7
"preservação";"preservação";7
"presidência";"presidência";7
"programas";"programas";7
"proibição";"proibição";7
"proporcionalmente";"proporcionalmente";7
"questionário";"questionário";7
"reais";"reais";7
"relatório";"relatório";7
"requeridos";"requeridos";7
"réus";"réus";7
"somente";"somente";7
"stf";"stf";7
"técnicos";"técnicos";7
"três";"três";7
"utilizados";"utilizados";7
"acesso";"acesso";6
"administrativos";"administrativos";6
"afirma";"afirma";6
"aspectos";"aspectos";6
"através";"através";6
"atual";"atual";6
"autos";"autos";6
"bastante";"bastante";6
"bfacd";"bfacd";6
"brasileiros";"brasileiros";6
"busca";"busca";6
"cabe";"cabe";6
"cancelamento";"cancelamento";6
"carta";"carta";6
"celso";"celso";6
"certo";"certo";6
"con";"con";6
"conflitos";"conflitos";6
"considerando";"considerando";6
"consoante";"consoante";6
"contagem";"contagem";6
"contexto";"contexto";6
"controvérsia";"controvérsia";6
"curso";"curso";6
"daae";"daae";6
"decisões";"decisões";6
"decorrência";"decorrência";6
"desigualdades";"desigualdades";6
"desse";"desse";6
"destaca";"destaca";6
"devida";"devida";6
"diretamente";"diretamente";6
"econômica";"econômica";6
"elaboração";"elaboração";6
"encontra";"encontra";6
"evidente";"evidente";6
"face";"face";6
"fazer";"fazer";6
"financeira";"financeira";6
"fiscal";"fiscal";6
"formular";"formular";6
"grau";"grau";6
"identificação";"identificação";6
"igual";"igual";6
"início";"início";6
"insuficiente";"insuficiente";6
"jurisdição";"jurisdição";6
"legalidade";"legalidade";6
"legislação";"legislação";6
"manter";"manter";6
"maranhao";"maranhao";6
"mello";"mello";6
"menos";"menos";6
"ministério";"ministério";6
"moradia";"moradia";6
"novo";"novo";6
"ocorrer";"ocorrer";6
"ordem";"ordem";6
"órgãos";"órgãos";6
"outros";"outros";6
"perguntas";"perguntas";6
"pessoas";"pessoas";6
"pleno";"pleno";6
"poderá";"poderá";6
"ponderação";"ponderação";6
"prazo";"prazo";6
"previstos";"previstos";6
"processos";"processos";6
"rateio";"rateio";6
"razoabilidade";"razoabilidade";6
"recenseadores";"recenseadores";6
"recenseamento";"recenseamento";6
"regra";"regra";6
"relevantes";"relevantes";6
"representativos";"representativos";6
"revisão";"revisão";6
"senhor";"senhor";6
"sobretudo";"sobretudo";6
"sociedade";"sociedade";6
"solução";"solução";6
"soma";"soma";6
"subnacionais";"subnacionais";6
"suficiente";"suficiente";6
"trabalho";"trabalho";6
"transferência";"transferência";6
"tributárias";"tributárias";6
"última";"última";6
"vênia";"vênia";6
"viabilizar";"viabilizar";6
"vida";"vida";6
"virtude";"virtude";6
"xxxxx";"xxxxx";6
"abertura";"abertura";5
"acompanhamento";"acompanhamento";5
"addcc";"addcc";5
"administrativa";"administrativa";5
"administrativo";"administrativo";5
"adotar";"adotar";5
"adpf";"adpf";5
"advogado";"advogado";5
"agr";"agr";5
"alexandre";"alexandre";5
"analisar";"analisar";5
"anexo";"anexo";5
"atividades";"atividades";5
"atualizados";"atualizados";5
"autorses";"autorses";5
"autossuficiência";"autossuficiência";5
"censitária";"censitária";5
"censitárias";"censitárias";5
"cento";"cento";5
"cerca";"cerca";5
"civil";"civil";5
"competências";"competências";5
"compõem";"compõem";5
"composição";"composição";5
"conhecimento";"conhecimento";5
"considerado";"considerado";5
"conteúdo";"conteúdo";5
"contingenciamento";"contingenciamento";5
"contudo";"contudo";5
"data";"data";5
"decorrente";"decorrente";5
"decorrentes";"decorrentes";5
"demais";"demais";5
"depende";"depende";5
"dessa";"dessa";5
"determinando";"determinando";5
"determinar";"determinar";5
"deveres";"deveres";5
"devido";"devido";5
"dias";"dias";5
"dificuldades";"dificuldades";5
"direta";"direta";5
"disposto";"disposto";5
"disso";"disso";5
"dotações";"dotações";5
"edson";"edson";5
"educação";"educação";5
"embora";"embora";5
"ementa";"ementa";5
"enfrentamento";"enfrentamento";5
"equilíbrio";"equilíbrio";5
"essenciais";"essenciais";5
"essencialmente";"essencialmente";5
"estrutura";"estrutura";5
"fachin";"fachin";5
"fatos";"fatos";5
"federativos";"federativos";5
"ffdefedb";"ffdefedb";5
"força";"força";5
"fundamentalmente";"fundamentalmente";5
"grande";"grande";5
"graves";"graves";5
"imediata";"imediata";5
"implementar";"implementar";5
"importa";"importa";5
"indicadores";"indicadores";5
"inércia";"inércia";5
"inferior";"inferior";5
"iniciativa";"iniciativa";5
"instrumento";"instrumento";5
"interpretação";"interpretação";5
"jurídica";"jurídica";5
"justiça";"justiça";5
"justificativa";"justificativa";5
"legislativas";"legislativas";5
"lesão";"lesão";5
"maio";"maio";5
"mediante";"mediante";5
"meios";"meios";5
"mento";"mento";5
"meses";"meses";5
"mil";"mil";5
"moraes";"moraes";5
"mostrar";"mostrar";5
"normas";"normas";5
"normativo";"normativo";5
"obrigação";"obrigação";5
"obtidos";"obtidos";5
"ocorre";"ocorre";5
"passado";"passado";5
"perda";"perda";5
"pessoa";"pessoa";5
"podem";"podem";5
"populacionais";"populacionais";5
"preparatórias";"preparatórias";5
"privada";"privada";5
"produto";"produto";5
"promoção";"promoção";5
"provisória";"provisória";5
"real";"real";5
"reconheceu";"reconheceu";5
"redação";"redação";5
"refere";"refere";5
"referência";"referência";5
"regionais";"regionais";5
"rel";"rel";5
"retomada";"retomada";5
"sempre";"sempre";5
"sendo";"sendo";5
"serem";"serem";5
"sessão";"sessão";5
"suprema";"suprema";5
"tempo";"tempo";5
"tendo";"tendo";5
"unidades";"unidades";5
"violação";"violação";5
"açao";"açao";4
"adequado";"adequado";4
"afeta";"afeta";4
"afronta";"afronta";4
"agosto";"agosto";4
"aludindo";"aludindo";4
"argumentos";"argumentos";4
"ata";"ata";4
"bases";"bases";4
"bens";"bens";4
"caput";"caput";4
"características";"características";4
"caráter";"caráter";4
"cas";"cas";4
"causa";"causa";4
"comandos";"comandos";4
"comunidade";"comunidade";4
"concepções";"concepções";4
"concreto";"concreto";4
"confirmação";"confirmação";4
"considerada";"considerada";4
"contemplou";"contemplou";4
"contra";"contra";4
"contratação";"contratação";4
"corrente";"corrente";4
"cortes";"cortes";4
"crise";"crise";4
"cuida";"cuida";4
"cumpre";"cumpre";4
"custos";"custos";4
"dada";"dada";4
"dade";"dade";4
"daí";"daí";4
"deferida";"deferida";4
"definição";"definição";4
"democrático";"democrático";4
"demográfica";"demográfica";4
"dependem";"dependem";4
"desde";"desde";4
"desigualdade";"desigualdade";4
"desses";"desses";4
"deste";"deste";4
"detalhamento";"detalhamento";4
"devendo";"devendo";4
"disponível";"disponível";4
"dispositivo";"dispositivo";4
"dois";"dois";4
"dotação";"dotação";4
"edoc";"edoc";4
"efetividade";"efetividade";4
"elevada";"elevada";4
"encontram";"encontram";4
"ente";"ente";4
"escassez";"escassez";4
"específico";"específico";4
"estaduais";"estaduais";4
"estatais";"estatais";4
"estimativa";"estimativa";4
"estimativas";"estimativas";4
"estudos";"estudos";4
"excepcional";"excepcional";4
"executar";"executar";4
"exposto";"exposto";4
"expressa";"expressa";4
"falta";"falta";4
"favor";"favor";4
"faz";"faz";4
"fechamento";"fechamento";4
"federados";"federados";4
"feito";"feito";4
"fins";"fins";4
"fixada";"fixada";4
"fragilização";"fragilização";4
"fun";"fun";4
"gestão";"gestão";4
"governamentais";"governamentais";4
"governamental";"governamental";4
"harmonia";"harmonia";4
"impessoalidade";"impessoalidade";4
"impostas";"impostas";4
"impostos";"impostos";4
"inação";"inação";4
"indevida";"indevida";4
"índice";"índice";4
"índole";"índole";4
"inicialmente";"inicialmente";4
"interesses";"interesses";4
"interno";"interno";4
"intervenção";"intervenção";4
"investimentos";"investimentos";4
"jogo";"jogo";4
"josé";"josé";4
"juízo";"juízo";4
"jurisdicional";"jurisdicional";4
"justificar";"justificar";4
"lado";"lado";4
"liberdade";"liberdade";4
"limites";"limites";4
"magna";"magna";4
"maioria";"maioria";4
"margem";"margem";4
"materiais";"materiais";4
"mecanismos";"mecanismos";4
"meramente";"meramente";4
"mês";"mês";4
"metas";"metas";4
"ministros";"ministros";4
"municipais";"municipais";4
"necessário";"necessário";4
"objetivo";"objetivo";4
"observado";"observado";4
"ocorra";"ocorra";4
"operação";"operação";4
"órgão";"órgão";4
"outra";"outra";4
"outubro";"outubro";4
"parcialmente";"parcialmente";4
"parte";"parte";4
"perspectiva";"perspectiva";4
"podendo";"podendo";4
"poderes";"poderes";4
"porém";"porém";4
"possui";"possui";4
"postulados";"postulados";4
"prestou";"prestou";4
"primeiro";"primeiro";4
"produção";"produção";4
"quaisquer";"quaisquer";4
"qualquer";"qualquer";4
"racionalidade";"racionalidade";4
"razoável";"razoável";4
"realizada";"realizada";4
"realizados";"realizados";4
"receita";"receita";4
"recentemente";"recentemente";4
"reconhecimento";"reconhecimento";4
"referido";"referido";4
"relações";"relações";4
"repartição";"repartição";4
"representantes";"representantes";4
"requer";"requer";4
"rescisória";"rescisória";4
"resulta";"resulta";4
"resultado";"resultado";4
"salárioeducação";"salárioeducação";4
"sanar";"sanar";4
"sanitária";"sanitária";4
"saúde";"saúde";4
"setor";"setor";4
"superior";"superior";4
"surge";"surge";4
"sustenta";"sustenta";4
"têm";"têm";4
"território";"território";4
"título";"título";4
"toda";"toda";4
"único";"único";4
"variação";"variação";4
"vários";"vários";4
"vem";"vem";4
"versando";"versando";4
"viabilidade";"viabilidade";4
"visando";"visando";4
"abalar";"abalar";3
"abril";"abril";3
"absolutamente";"absolutamente";3
"acordo";"acordo";3
"administrador";"administrador";3
"adotadas";"adotadas";3
"agentes";"agentes";3
"agravamento";"agravamento";3
"ajuizou";"ajuizou";3
"alimentos";"alimentos";3
"ângulo";"ângulo";3
"anterior";"anterior";3
"anual";"anual";3
"aprimoramento";"aprimoramento";3
"aprovada";"aprovada";3
"aqui";"aqui";3
"argumento";"argumento";3
"arrecadação";"arrecadação";3
"assessor";"assessor";3
"assistência";"assistência";3
"atuar";"atuar";3
"básico";"básico";3
"basilar";"basilar";3
"beneficiárias";"beneficiárias";3
"bolsonaro";"bolsonaro";3
"brasília";"brasília";3
"casos";"casos";3
"chefe";"chefe";3
"claro";"claro";3
"coeficiente";"coeficiente";3
"ções";"ções";3
"combinação";"combinação";3
